StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q43,attention_check,conspicuous,Q46_First Click,Q46_Last Click,Q46_Page Submit,Q46_Click Count,prosocial,Q47_First Click,Q47_Last Click,Q47_Page Submit,Q47_Click Count,competence,Q48_First Click,Q48_Last Click,Q48_Page Submit,Q48_Click Count,topic_modest_donat,Q49_First Click,Q49_Last Click,Q49_Page Submit,Q49_Click Count,importance_coop,importance_comp,gender,age,feedback,PROLIFIC_PID,STUDY_ID,SESSION_ID,study_time,completion_fee,passedattn,condition,topic_1,status_1,neutral_1,topic_2,status_2,neutral_2,topic_3,status_3,neutral_3,order,modest,topic_4,status_4,neutral_4,humble
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"By clicking 鈥淎gree鈥?below, you confirm that you have read the consent form, are at least 18 years old, and agree to participate in the research. Please print or save a copy of this page for your records.","Background and Employment

During this survey, you will answer questions using your judgment. Background experiences and employment can be an important factor for these types of tasks. Please select your occupation from the menu below. In order to demonstrate that you have read these instructions, please select astronomy as your answer to the question below. Failure to do so will disqualify you from taking this survey. Please be assured that we will keep your answer confidential. Thank you for your participation.","Over the weekend, you engaged in a couple of activities. You are now deciding whether to post about them on your profile.



Which of the following posts would you like to display on your profile?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Imagine you haven鈥檛 posted anything yet. 



Over the weekend, you engaged in a couple of activities. You are now deciding whether to post about them on your profile.



Which of the following posts would you like to display on your profile?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Imagine you haven鈥檛 posted anything yet. 



Over the weekend, you engaged in a couple of activities. You are now deciding whether to post about them on your profile.



Which of the following posts would you like to display on your profile?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"Again, imagine you haven鈥檛 posted anything yet. 



Over the weekend, you engaged in a couple of activities. You are now deciding whether to post about them on your profile.



Which of the following posts would you like to display on your profile?



Note: The first two posts refer to the same activity.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Think about the group you are trying to join. - How important is to them to find members that are cooperative?,Think about the group you are trying to join. - How important is to them to find members that are competitive?,Please select your gender.,Please enter your age in years.,"Finally, please leave any feedback you might have in the box below. Thank you for participating in this study!",PROLIFIC_PID,STUDY_ID,SESSION_ID,study_time,completion_fee,passedattn,condition,topic_1,status_1,neutral_1,topic_2,status_2,neutral_2,topic_3,status_3,neutral_3,order,modest,topic_4,status_4,neutral_4,humble
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID46""}","{""ImportId"":""QID1""}","{""ImportId"":""QID6""}","{""ImportId"":""QID49_FIRST_CLICK""}","{""ImportId"":""QID49_LAST_CLICK""}","{""ImportId"":""QID49_PAGE_SUBMIT""}","{""ImportId"":""QID49_CLICK_COUNT""}","{""ImportId"":""QID12""}","{""ImportId"":""QID50_FIRST_CLICK""}","{""ImportId"":""QID50_LAST_CLICK""}","{""ImportId"":""QID50_PAGE_SUBMIT""}","{""ImportId"":""QID50_CLICK_COUNT""}","{""ImportId"":""QID16""}","{""ImportId"":""QID51_FIRST_CLICK""}","{""ImportId"":""QID51_LAST_CLICK""}","{""ImportId"":""QID51_PAGE_SUBMIT""}","{""ImportId"":""QID51_CLICK_COUNT""}","{""ImportId"":""QID24""}","{""ImportId"":""QID52_FIRST_CLICK""}","{""ImportId"":""QID52_LAST_CLICK""}","{""ImportId"":""QID52_PAGE_SUBMIT""}","{""ImportId"":""QID52_CLICK_COUNT""}","{""ImportId"":""QID32_1""}","{""ImportId"":""QID32_2""}","{""ImportId"":""QID34""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_TEXT""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""study_time""}","{""ImportId"":""completion_fee""}","{""ImportId"":""passedattn""}","{""ImportId"":""condition""}","{""ImportId"":""topic_1""}","{""ImportId"":""status_1""}","{""ImportId"":""neutral_1""}","{""ImportId"":""topic_2""}","{""ImportId"":""status_2""}","{""ImportId"":""neutral_2""}","{""ImportId"":""topic_3""}","{""ImportId"":""status_3""}","{""ImportId"":""neutral_3""}","{""ImportId"":""order""}","{""ImportId"":""modest""}","{""ImportId"":""topic_4""}","{""ImportId"":""status_4""}","{""ImportId"":""neutral_4""}","{""ImportId"":""humble""}"
2025/3/17 14:56,2025/3/17 15:00,0,73.66.158.210,100,231,1,2025/3/17 15:00,R_6Iiw8z8jnkaQEB3,,,,,37.3257,-120.4999,anonymous,EN,1,4,4,15.911,39.074,42.301,3,4,8.851,35.047,36.663,3,2,8.339,49.712,50.901,6,6,8.054,28.379,29.881,4,5,5,2,33,,5e705d7fede0276399797769,67d8893b09a5fc39ac40386e,67d88c877aa92cb3da80afde,3,0.5,yes,competition,car,I had so much fun driving in the countryside this weekend. #autumn #porsche,Went to an amazing pizza place last night!,donation,Donated to the Red Cross this weekend. #philanthropy #GiveBack,Running in the spring is the best!,tedx,Had a great time giving a speech this weekend. #TEDxSpeaker #ThoughtLeader,I saw the cutest puppy today! #goldenretrievers,2月3日,competence,award,Received an award for top performance from my company last night. #ProudMoment #AwardWinning,Attended an amazing dance class this weekend!,Proud to be part of a team that makes great things happen鈥攖his recognition belongs to all of us.
2025/3/17 15:01,2025/3/17 15:01,0,71.60.172.165,100,41,1,2025/3/17 15:01,R_7FkNXEUVZdamAZA,,,,,40.4284,-79.6976,anonymous,EN,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,66b15d831d95c04d55fcccef,67d8893b09a5fc39ac40386e,67d88d85f9b69c90d25431da,3,0.5,no,,,,,,,,,,,,,,,,
2025/3/17 15:02,2025/3/17 15:03,0,174.229.58.136,100,48,1,2025/3/17 15:03,R_7EiCcOWwkhVwNTS,,,,,40.6372,-73.9037,anonymous,EN,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,67d7a41416cdded1ba4bd8db,67d8893b09a5fc39ac40386e,67d88dcd2ba1945c00bb93da,3,0.5,no,,,,,,,,,,,,,,,,
2025/3/17 15:04,2025/3/17 15:05,0,172.56.220.64,100,63,1,2025/3/17 15:05,R_3hF5SZEFA02XjgX,,,,,39.9739,-75.1456,anonymous,EN,1,4,4,7.476,8.774,16.387,2,2,1.055,1.055,1.858,1,2,5.429,5.429,6.229,1,3,0.857,10.065,10.577,5,3,3,1,43,,6632a79e5784fa1ee4b0f4c4,67d8893b09a5fc39ac40386e,67d88e52a1d93a2a739ae40e,3,0.5,yes,competition,food,Went to an amazing restaurant last night! Check it out @LeBernardin #gourmet #finedining,Attended an amazing dance class this weekend!,volunteering,Volunteered at the community center last Saturday. #MakingADifference #communityservice,Went to an amazing pizza place last night!,award,Received an award for top performance from my company last night. #ProudMoment #AwardWinning,I saw the cutest puppy today! #goldenretrievers,3月2日,prosocial,mentoring,Had a great time mentoring students this weekend at my local school. #MakingADifference #mentorship,Running in the spring is the best!,Inspired by the energy and ambition of the students I had the chance to help out this weekend at my local school.
2025/3/17 15:05,2025/3/17 15:07,0,68.9.246.99,100,137,1,2025/3/17 15:07,R_6yfuqH2bt64sbdH,,,,,41.7459,-71.3122,anonymous,EN,1,4,4,7.789,32.952,34.201,3,4,4.653,24.434,24.717,4,4,2.354,29.768,30.185,4,6,3.068,16.532,17.285,6,3,3,2,29,,5e0c0a7b6aab7c3fbeb4a644,67d8893b09a5fc39ac40386e,67d88e800930b55f008aba13,3,0.5,yes,competition,attire,Went shopping this weekend. #Prada,Running in the spring is the best!,donation,Donated to the Red Cross this weekend. #philanthropy #GiveBack,Attended an amazing dance class this weekend!,summit,Attended the World Economic Forum this weekend in Davos. #GlobalLeadership #GameChanger,Attended an amazing dance class this weekend!,3月2日,conspicuous,car,I had so much fun driving in the countryside this weekend. #autumn #porsche,Went to an amazing pizza place last night!,I had so much fun driving in the countryside this weekend. Nothing like German precision on winding roads.
2025/3/17 15:04,2025/3/17 15:09,0,97.149.251.236,100,288,1,2025/3/17 15:09,R_31YfOYF5Rzlpp5g,,,,,39.8451,-86.1906,anonymous,EN,1,4,2,13.31,40.233,81.86,5,4,10.082,12.967,52.701,2,4,18.463,19.964,53.887,2,3,9.033,24.88,50.501,3,5,5,2,33,,66784f78e4fc93a68eb6ead6,67d8893b09a5fc39ac40386e,67d88e45d6bf0342df1361fe,3,0.5,yes,control,car,I had so much fun driving in the countryside this weekend. #autumn #porsche,Went to an amazing pizza place last night!,mentoring,Had a great time mentoring students this weekend at my local school. #MakingADifference #mentorship,Running in the spring is the best!,tedx,Had a great time giving a speech this weekend. #TEDxSpeaker #ThoughtLeader,Attended an amazing dance class this weekend!,3月2日,prosocial,volunteering,Volunteered at the community center last Saturday. #MakingADifference #communityservice,I saw the cutest puppy today! #goldenretrievers,Inspired by the incredible work being done at the community center鈥攇lad to be a part of it.
2025/3/17 15:06,2025/3/17 15:09,0,47.44.73.230,100,198,1,2025/3/17 15:09,R_7P4PrJbK9OT0ptr,,,,,43.9633,-91.2562,anonymous,EN,1,4,1,9.304,40.488,43.446,4,2,12.612,13.496,38.397,2,3,5.309,7.461,25.78,3,1,17.313,24.048,35.294,6,5,1,1,42,None,5f2878286f2b241597c9d564,67d8893b09a5fc39ac40386e,67d88eb6a4b8e184cc5914f6,3,0.5,yes,control,food,Went to an amazing restaurant last night! Check it out @LeBernardin #gourmet #finedining,Attended an amazing dance class this weekend!,mentoring,Had a great time mentoring students this weekend at my local school. #MakingADifference #mentorship,Running in the spring is the best!,tedx,Had a great time giving a speech this weekend. #TEDxSpeaker #ThoughtLeader,Went to an amazing pizza place last night!,2月3日,competence,mba,Just completed my MBA program. #IvyLeague #achievement,I saw the cutest puppy today! #goldenretrievers,Grateful to have learned from incredible professors and classmates throughout this MBA journey.
2025/3/17 15:07,2025/3/17 15:09,0,70.22.166.97,100,134,1,2025/3/17 15:09,R_32RbldL38mpnEzi,,,,,42.2518,-71.0805,anonymous,EN,1,4,4,19.717,20.427,27.621,2,4,3.269,18.206,20.985,4,4,9.516,10.456,19.026,2,6,9.254,9.847,19.063,2,4,3,1,39,,65ca888e3ff4c0ca5294bccf,67d8893b09a5fc39ac40386e,67d88efb6b8e3dfbb04c7f80,3,0.5,yes,control,car,I had so much fun driving in the countryside this weekend. #autumn #porsche,Went to an amazing pizza place last night!,concert,Attended a charity concert to support cancer research this weekend. #MakingADifference #charity,Running in the spring is the best!,summit,Attended the World Economic Forum this weekend in Davos. #GlobalLeadership #GameChanger,Attended an amazing dance class this weekend!,3月2日,prosocial,donation,Donated to the Red Cross this weekend. #philanthropy #GiveBack,I saw the cutest puppy today! #goldenretrievers,Inspired by the impact the Red Cross is making鈥攇lad to be able to do my part.
